Date;Open;High;Low;Close;Adj Close;Volume
Mar 11, 2026;105.14;114.08;104.49;109.34;109.34;24466129
Mar 10, 2026;95.14;98.40;95.00;96.43;96.43;7052100
Mar 9, 2026;87.36;95.20;86.50;94.94;94.94;9983800
Mar 6, 2026;92.30;94.95;88.80;89.33;89.33;7829400
Mar 5, 2026;96.75;99.25;91.62;95.65;95.65;8769300
Mar 4, 2026;90.40;98.48;90.15;97.78;97.78;12975800
Mar 3, 2026;86.15;89.87;83.53;86.80;86.80;10158200
Mar 2, 2026;88.00;91.39;86.80;91.01;91.01;11049500
Feb 27, 2026;98.70;99.30;88.40;91.19;91.19;22945200
Feb 26, 2026;106.00;108.32;102.00;104.88;104.88;8529300
Feb 25, 2026;104.99;107.44;102.80;106.12;106.12;8737200
Feb 24, 2026;99.36;103.75;97.75;102.58;102.58;7436000
Feb 23, 2026;96.31;101.16;95.30;100.61;100.61;8882200
Feb 20, 2026;106.59;108.32;97.03;97.92;97.92;17238800
Feb 19, 2026;100.43;107.98;100.43;107.61;107.61;17315000
Feb 18, 2026;99.73;104.40;96.86;101.80;101.80;13132500
Feb 17, 2026;96.00;99.29;93.50;97.52;97.52;11665200
Feb 13, 2026;89.86;100.32;88.86;98.01;98.01;20543800
Feb 12, 2026;84.10;90.76;79.69;89.73;89.73;25735500
Feb 11, 2026;92.92;94.75;87.14;88.61;88.61;13933000
Feb 10, 2026;92.92;95.55;91.66;91.79;91.79;10388600
Feb 9, 2026;84.45;93.68;83.81;92.88;92.88;13235600
Feb 6, 2026;79.22;86.66;77.12;86.10;86.10;16895700
Feb 5, 2026;79.14;80.82;73.52;73.87;73.87;17441100
Feb 4, 2026;87.00;87.67;78.44;82.39;82.39;15962800
Feb 3, 2026;89.93;91.39;84.75;89.95;89.95;9743100
Feb 2, 2026;85.81;89.25;84.22;88.16;88.16;10501300
Jan 30, 2026;91.55;92.04;84.12;85.19;85.19;18182300
Jan 29, 2026;98.36;99.25;91.16;94.91;94.91;13332200
Jan 28, 2026;100.00;101.85;96.44;100.43;100.43;11834100
Jan 27, 2026;94.35;99.54;93.53;97.87;97.87;11670900
Jan 26, 2026;97.71;100.88;91.36;91.46;91.46;14675900
Jan 23, 2026;96.70;98.89;93.53;94.50;94.50;10064600
Jan 22, 2026;102.01;103.98;96.50;96.85;96.85;10237100
Jan 21, 2026;101.09;102.40;93.10;98.87;98.87;15470500
Jan 20, 2026;101.83;104.47;98.34;99.29;99.29;16768600
Jan 16, 2026;106.00;110.50;100.71;108.73;108.73;15674400
Jan 15, 2026;104.56;108.13;101.10;103.89;103.89;11190900
Jan 14, 2026;105.78;106.70;99.38;101.98;101.98;10468000
Jan 13, 2026;107.33;107.95;103.92;105.43;105.43;10405200
Jan 12, 2026;98.32;108.68;96.55;107.33;107.33;16033500
Jan 9, 2026;98.89;104.97;97.10;97.93;97.93;11735300
Jan 8, 2026;96.79;102.54;96.02;97.30;97.30;12952000
Jan 7, 2026;99.01;102.35;95.56;96.21;96.21;10185800
Jan 6, 2026;95.71;100.68;90.94;100.24;100.24;18739600
Jan 5, 2026;95.00;95.44;90.89;92.83;92.83;10025600
Jan 2, 2026;86.99;90.76;86.01;89.95;89.95;9099500
Dec 31, 2025;85.37;86.47;82.90;83.71;83.71;7055900
Dec 30, 2025;86.38;86.96;84.56;85.17;85.17;5802300
Dec 29, 2025;84.45;88.61;84.29;86.04;86.04;8076100
Dec 26, 2025;91.51;91.62;86.74;87.59;87.59;6234600
Dec 24, 2025;90.23;91.42;88.65;91.13;91.13;3338000
Dec 23, 2025;90.31;92.97;88.31;90.03;90.03;8885700
Dec 22, 2025;92.97;95.90;91.10;93.23;93.23;11303100
Dec 19, 2025;80.65;90.54;80.16;89.46;89.46;17558700
Dec 18, 2025;79.05;80.35;77.01;78.09;78.09;10345800
Dec 17, 2025;84.09;84.30;75.25;75.45;75.45;17064100
Dec 16, 2025;79.57;81.56;76.88;80.95;80.95;13847800
Dec 15, 2025;88.10;88.24;80.06;81.14;81.14;17138600
Dec 12, 2025;93.31;95.65;86.20;87.69;87.69;14990600
Dec 11, 2025;89.20;95.45;86.70;94.28;94.28;11896100
Dec 10, 2025;95.73;97.09;92.20;93.59;93.59;10080700
Dec 9, 2025;98.09;100.88;96.10;96.41;96.41;10060000
Dec 8, 2025;97.29;100.50;95.30;100.33;100.33;8737800
Dec 5, 2025;100.34;101.35;96.20;98.04;98.04;13041100
Dec 4, 2025;99.07;103.84;97.47;102.80;102.80;11234100
Dec 3, 2025;95.02;99.06;91.00;98.92;98.92;11307500
Dec 2, 2025;100.36;102.95;96.06;96.45;96.45;11332700
Dec 1, 2025;91.45;101.60;89.01;100.15;100.15;14462900
Nov 28, 2025;96.55;97.08;93.44;94.87;94.87;6018800
Nov 26, 2025;93.85;95.63;90.76;94.69;94.69;13545000
Nov 25, 2025;89.29;91.28;84.72;88.88;88.88;15021200
Nov 24, 2025;86.23;93.00;85.15;91.90;91.90;51066800
Nov 21, 2025;85.55;88.74;78.21;83.26;83.26;34963200
Nov 20, 2025;99.43;102.69;84.21;84.64;84.64;35775700
Nov 19, 2025;93.00;96.72;91.80;95.07;95.07;22040600
Nov 18, 2025;83.78;93.69;81.71;90.54;90.54;26661600
Nov 17, 2025;83.82;89.65;83.59;85.98;85.98;23478700
Nov 14, 2025;82.36;89.00;82.00;83.54;83.54;31948000
Nov 13, 2025;90.89;91.48;84.50;88.63;88.63;41803000
Nov 12, 2025;104.20;105.65;91.71;94.36;94.36;35913500
Nov 11, 2025;114.13;114.56;99.83;102.22;102.22;45261100
Nov 10, 2025;115.18;118.37;108.72;109.95;109.95;21363600
Nov 7, 2025;104.50;111.30;101.26;111.28;111.28;17614100
Nov 6, 2025;119.55;121.00;108.41;109.44;109.44;17314400
Nov 5, 2025;113.64;118.21;111.43;117.00;117.00;13977700
Nov 4, 2025;112.36;116.78;109.00;110.54;110.54;17818200
Nov 3, 2025;134.00;134.93;119.75;120.47;120.47;17247000
Oct 31, 2025;126.64;132.15;126.30;130.82;130.82;13389000
Oct 30, 2025;121.20;128.44;117.76;124.18;124.18;12204400
Oct 29, 2025;124.28;125.95;117.50;125.10;125.10;13952800
Oct 28, 2025;126.43;129.03;120.78;121.83;121.83;13455500
Oct 27, 2025;120.91;126.50;120.11;125.43;125.43;16809800
Oct 24, 2025;111.16;117.45;110.01;117.26;117.26;17411900
Oct 23, 2025;100.33;106.62;99.46;106.16;106.16;15803800
Oct 22, 2025;106.68;107.80;94.63;98.62;98.62;26631500
Oct 21, 2025;107.88;108.18;101.40;104.28;104.28;18455900
Oct 20, 2025;116.79;117.47;107.51;109.00;109.00;17799500
Oct 17, 2025;118.06;120.57;110.88;113.44;113.44;21366500
Oct 16, 2025;128.09;130.97;122.02;123.04;123.04;14207700
Oct 15, 2025;131.90;131.99;122.20;125.83;125.83;11708300
Oct 14, 2025;132.00;133.78;125.75;128.15;128.15;13109200
Oct 13, 2025;135.21;138.53;132.65;135.46;135.46;12788900
Oct 10, 2025;134.95;141.10;128.01;129.58;129.58;28268500
Oct 9, 2025;120.98;133.32;119.87;132.64;132.64;18124600
Oct 8, 2025;121.20;125.31;117.50;122.00;122.00;18005900
Oct 7, 2025;127.82;128.28;115.72;117.70;117.70;19574000
Oct 6, 2025;132.40;135.76;124.93;124.94;124.94;16311100
Oct 3, 2025;127.24;132.98;123.60;127.98;127.98;21351300
Oct 2, 2025;123.77;126.74;118.57;125.87;125.87;26887700
Oct 1, 2025;111.71;115.88;109.76;115.61;115.61;12008100
Sep 30, 2025;113.44;117.65;111.66;112.27;112.27;20425100
Sep 29, 2025;109.38;112.52;108.33;110.22;110.22;12067000
Sep 26, 2025;109.93;109.99;102.80;107.70;107.70;14915100
Sep 25, 2025;108.06;114.08;105.88;107.94;107.94;19658800
Sep 24, 2025;109.14;114.85;104.85;113.23;113.23;25341200
Sep 23, 2025;108.04;109.98;104.25;107.80;107.80;16693500
Sep 22, 2025;101.95;108.58;98.52;106.60;106.60;24365200
Sep 19, 2025;94.14;99.55;93.25;99.31;99.31;18649300
Sep 18, 2025;95.07;97.68;92.03;94.12;94.12;18068500
Sep 17, 2025;91.67;95.00;88.83;94.08;94.08;24500300
Sep 16, 2025;91.20;91.30;88.02;89.43;89.43;11737300
Sep 15, 2025;92.61;94.42;88.84;90.96;90.96;19391500
Sep 12, 2025;91.19;92.00;86.78;90.41;90.41;22844700
Sep 11, 2025;92.67;93.87;88.42;89.19;89.19;37580600
Sep 10, 2025;91.64;100.51;91.00;93.39;93.39;44690600
Sep 9, 2025;97.20;98.68;86.12;95.72;95.72;88378300
Sep 8, 2025;64.67;66.64;63.80;64.06;64.06;23050000
Sep 5, 2025;66.50;67.39;63.26;65.47;65.47;5811700
Sep 4, 2025;65.44;66.50;64.41;64.91;64.91;5473300
Sep 3, 2025;66.88;67.00;64.83;65.65;65.65;6506200
Sep 2, 2025;65.90;67.88;64.11;65.72;65.72;9333000
Aug 29, 2025;71.54;71.69;67.60;68.32;68.32;7594300
Aug 28, 2025;70.93;73.50;70.20;72.04;72.04;8909400
Aug 27, 2025;71.50;71.80;68.65;70.10;70.10;6471400
Aug 26, 2025;70.29;72.80;69.31;70.48;70.48;7516500
Aug 25, 2025;69.46;70.74;67.25;70.02;70.02;7898700
Aug 22, 2025;65.51;69.68;64.61;68.98;68.98;11017200
Aug 21, 2025;68.26;68.26;65.45;66.18;66.18;8019200
Aug 20, 2025;65.18;67.50;62.01;67.47;67.47;14162800
Aug 19, 2025;71.75;71.75;66.20;67.19;67.19;12276300
Aug 18, 2025;71.44;72.59;68.27;72.54;72.54;10007000
Aug 15, 2025;68.30;71.97;67.31;71.62;71.62;9237600
Aug 14, 2025;69.75;71.52;67.10;68.46;68.46;13114000
Aug 13, 2025;75.08;75.21;69.08;70.63;70.63;18701900
Aug 12, 2025;73.43;75.92;72.00;75.33;75.33;16106400
Aug 11, 2025;69.90;75.96;69.16;70.24;70.24;21552700
Aug 8, 2025;68.18;71.49;66.45;68.78;68.78;18451900
Aug 7, 2025;64.37;70.54;63.38;65.31;65.31;44065000
Aug 6, 2025;55.89;55.89;53.95;55.09;55.09;9731100
Aug 5, 2025;55.85;56.45;53.54;55.17;55.17;8585100
Aug 4, 2025;52.99;54.53;52.88;54.17;54.17;7096100
Aug 1, 2025;51.97;53.73;50.10;52.00;52.00;11719100
Jul 31, 2025;53.33;57.13;52.90;54.43;54.43;22905500
Jul 30, 2025;50.88;52.50;50.25;51.29;51.29;8009400
Jul 29, 2025;53.29;54.70;50.00;50.40;50.40;10638300
Jul 28, 2025;51.69;52.81;50.55;52.75;52.75;8599500
Jul 25, 2025;52.52;52.76;51.32;51.37;51.37;6237600
Jul 24, 2025;53.28;53.78;51.02;52.16;52.16;7220700
Jul 23, 2025;51.20;52.04;50.44;51.88;51.88;7288500
Jul 22, 2025;52.15;52.30;49.00;51.01;51.01;9913900
Jul 21, 2025;53.71;58.16;51.88;52.37;52.37;19795700
Jul 18, 2025;54.65;54.80;51.01;52.79;52.79;9593800
Jul 17, 2025;53.81;56.16;52.71;53.69;53.69;10876400
Jul 16, 2025;53.58;53.65;50.12;53.31;53.31;11086400
Jul 15, 2025;52.33;55.43;51.02;53.53;53.53;18454800
Jul 14, 2025;48.93;52.21;48.80;51.95;51.95;24405100
Jul 11, 2025;46.51;47.60;43.89;44.30;44.30;9198200
Jul 10, 2025;46.50;47.24;45.25;46.43;46.43;8476000
Jul 9, 2025;47.40;48.80;45.81;46.05;46.05;10148700
Jul 8, 2025;48.10;48.55;46.65;47.10;47.10;8447800
Jul 7, 2025;49.33;49.33;47.22;47.84;47.84;9432600
Jul 3, 2025;50.99;50.99;49.80;50.25;50.25;5143300
Jul 2, 2025;50.26;51.20;48.88;49.97;49.97;8151100
Jul 1, 2025;54.60;55.38;49.77;50.31;50.31;14286400
Jun 30, 2025;53.34;55.75;52.15;55.33;55.33;13852500
Jun 27, 2025;53.01;53.42;50.60;51.84;51.84;8978100
Jun 26, 2025;49.57;53.16;48.54;52.60;52.60;11533100
Jun 25, 2025;53.28;54.59;48.05;48.52;48.52;14092800
Jun 24, 2025;49.00;53.00;48.98;51.02;51.02;18080900
Jun 23, 2025;47.00;48.30;45.02;47.48;47.48;12396000
Jun 20, 2025;48.66;49.74;46.88;47.97;47.97;12670700
Jun 18, 2025;48.63;50.35;47.69;48.32;48.32;10999800
Jun 17, 2025;49.85;50.06;47.66;48.33;48.33;11504800
Jun 16, 2025;48.00;51.82;47.89;50.46;50.46;14505300
Jun 13, 2025;48.64;49.73;46.88;47.13;47.13;14336500
Jun 12, 2025;50.26;51.97;48.82;50.28;50.28;12573600
Jun 11, 2025;52.52;53.26;49.83;50.57;50.57;14439400
Jun 10, 2025;51.00;52.59;49.15;52.51;52.51;21894600
Jun 9, 2025;50.26;55.04;49.54;52.58;52.58;33822200
Jun 6, 2025;46.29;48.57;45.41;48.28;48.28;19955700
Jun 5, 2025;41.42;49.73;41.40;46.30;46.30;58899400
Jun 4, 2025;37.94;40.40;37.12;39.39;39.39;14745600
Jun 3, 2025;36.66;37.98;35.72;37.27;37.27;12101600
Jun 2, 2025;34.83;36.04;34.72;36.02;36.02;17309200
May 30, 2025;37.47;38.18;36.01;36.75;36.75;8109500
May 29, 2025;41.25;41.80;37.60;38.04;38.04;11182600
May 28, 2025;40.15;40.90;38.70;39.60;39.60;7801800
May 27, 2025;39.57;40.09;38.03;39.82;39.82;9224300
May 23, 2025;36.20;39.20;35.80;38.59;38.59;10378900
May 22, 2025;39.04;39.55;37.00;37.80;37.80;10928700
May 21, 2025;38.70;41.40;38.25;38.92;38.92;17302400
May 20, 2025;38.12;41.45;36.42;39.14;39.14;31145800
May 19, 2025;35.80;37.93;35.68;37.56;37.56;11035800
May 16, 2025;36.35;38.14;36.19;37.32;37.32;16647200
May 15, 2025;35.07;36.79;34.88;35.79;35.79;11205600
May 14, 2025;35.67;36.65;34.45;36.12;36.12;12529700
May 13, 2025;33.34;35.98;32.88;35.27;35.27;13897500
May 12, 2025;32.32;33.73;31.13;33.34;33.34;16292600
May 9, 2025;28.35;29.08;27.20;28.27;28.27;8477300
May 8, 2025;27.84;28.59;27.30;28.22;28.22;6853800
May 7, 2025;27.55;27.87;26.26;27.45;27.45;17862900
May 6, 2025;23.30;25.07;23.25;25.04;25.04;6024100
May 5, 2025;24.60;24.66;23.73;23.80;23.80;4599900
May 2, 2025;24.65;25.62;24.39;25.40;25.40;6124600
May 1, 2025;25.02;25.71;23.92;23.92;23.92;7475300
Apr 30, 2025;22.50;22.80;21.45;22.73;22.73;6099400
Apr 29, 2025;24.11;24.42;23.70;23.86;23.86;3404800
Apr 28, 2025;24.20;24.60;23.31;24.11;24.11;3609700
Apr 25, 2025;24.57;25.08;23.86;24.48;24.48;5825700
Apr 24, 2025;23.08;24.62;22.93;24.46;24.46;5588700
Apr 23, 2025;23.25;23.79;22.55;22.96;22.96;7949000
Apr 22, 2025;21.15;22.03;21.02;21.86;21.86;4708700
Apr 21, 2025;21.24;21.35;20.25;20.72;20.72;4267900
Apr 17, 2025;21.32;21.85;21.02;21.53;21.53;3973000
Apr 16, 2025;20.63;21.31;20.51;21.08;21.08;4473300
Apr 15, 2025;21.31;21.58;20.80;21.33;21.33;4681500
Apr 14, 2025;22.32;22.78;20.51;20.73;20.73;6091000
Apr 11, 2025;21.00;21.67;20.26;21.51;21.51;5470200
Apr 10, 2025;22.76;22.82;20.41;21.04;21.04;8709500
Apr 9, 2025;20.52;24.00;18.89;23.46;23.46;17685400
Apr 8, 2025;22.52;22.75;19.66;20.06;20.06;11102200
Apr 7, 2025;18.74;21.90;18.31;21.05;21.05;12653700
Apr 4, 2025;20.78;21.10;18.98;20.29;20.29;14053000
Apr 3, 2025;21.60;23.10;21.53;21.77;21.77;11659300
Apr 2, 2025;22.13;24.72;22.09;24.45;24.45;18863700
Apr 1, 2025;21.66;22.75;20.62;22.69;22.69;15299500
Mar 31, 2025;21.11;21.80;20.72;21.11;21.11;13795000
Mar 28, 2025;24.76;25.00;21.75;22.31;22.31;24931500
Mar 27, 2025;23.40;25.70;23.05;25.41;25.41;15935200
Mar 26, 2025;26.63;26.70;23.84;24.71;24.71;19905300
Mar 25, 2025;29.00;29.35;26.91;27.17;27.17;10464600
Mar 24, 2025;27.77;29.54;27.65;29.19;29.19;10013800
Mar 21, 2025;25.81;27.00;25.54;26.98;26.98;6922700
Mar 20, 2025;27.00;28.38;25.95;26.17;26.17;9921200
Mar 19, 2025;26.10;28.20;25.97;27.58;27.58;10194400
Mar 18, 2025;27.77;28.01;25.62;25.67;25.67;9837800
Mar 17, 2025;28.99;29.13;27.10;28.29;28.29;8252800
Mar 14, 2025;26.91;28.81;26.85;28.75;28.75;10634600
Mar 13, 2025;27.98;28.50;26.03;26.17;26.17;9164500
Mar 12, 2025;26.56;28.50;25.70;28.40;28.40;19285900
Mar 11, 2025;26.50;26.73;24.36;25.45;25.45;12588700
